ID,Title,Content,SKU,Product Type,parent_id,keywords
9126,Medium Weight Durable Versatile Canvas Tote,,,simple,0,
9128,Poly 2-Tone Messenger Bag,,,simple,0,
9130,Sporty Messenger Bag,,,simple,0,
9132,Solid Poly Messenger Bag,,,simple,0,
9134,Winner Messenger Bag,,,simple,0,
9136,Multi Pocket Messenger Bag,,,simple,0,
9138,Classic Poly Duffle Bag,,,simple,0,
9140,Modern Duffle with Rounded Corners,,,simple,0,
9142,Small Color-Block Exodus Duffle,,,simple,0,
9144,Deluxe Duffle Bag,,,simple,0,
9146,Medium Expedition Duffle,,,simple,0,
9148,Black Leather-like Gym Duffle,,,simple,0,
9150,Quilted Carry-On Duffle,,,simple,0,
9152,Large Rolling Terra Duffle,,,simple,0,
9154,Flat Poly Drawstring Backpack with Pocket,,,simple,0,
9156,Flat Poly Drawstring Backpack,,,simple,0,
9158,Bright Sport Mesh String Drawstring Backpack,,,simple,0,
9160,Jute Drawstring Backpack,,,simple,0,
9162,Brite Frosted Spectrum Sling Backpack,,,simple,0,
9164,Expandable Drawstring Duffle Backpack,,,simple,0,
9166,Poly Backpack with Hourglass Piping,,,simple,0,
9168,Adventure Sport Sling Backpack,,,simple,0,
9170,Sport Backpack with Center Color Panel,,,simple,0,
9172,Economy Organizer Backpack,,,simple,0,
9174,Poly Computer Backpack,,,simple,0,
9176,Poly Deluxe Computer Backpack,,,simple,0,
9178,"Ultimate 17"" Computer Backpack",,,simple,0,
9180,Poly Digital-Camo Deluxe Computer Backpack,,,simple,0,
9182,3-Section Zippered Backpack,,,simple,0,
9184,Sporty Messenger Bag,,,simple,0,
9186,Expandable Poly Business Portfolio,,,simple,0,
9188,Poly Business Portfolio,,,simple,0,
9190,Deluxe Poly Business Portfolio,,,simple,0,
9192,Jet-Setter Amenity Kit,,,simple,0,
9194,Winner Messenger Bag,,,simple,0,
9196,Neoprene Laptop Sleeve,,,simple,0,
9198,Venetian Handbag Style Business Tote,,,simple,0,
9200,Zippered Twin Handle Lunch Box,,,simple,0,
9202,Zippered Twin Handle Lunch Box,,,simple,0,
9204,Boxy Single Color Lunch Cooler,,,simple,0,
9206,Poly Cooler Lunch Box,,,simple,0,
9208,Cooler Tote Bag,,,simple,0,
9210,Small Wavy 2-Tone Lunch Cooler,,,simple,0,
9215,Sack Style Velcro Lunch Cooler,,,simple,0,
9219,Small Poly Cooler,,,simple,0,
9221,Small Insulated Duffle Cooler,,,simple,0,
9223,Poly Insulated Picnic Cooler,,,simple,0,
